anio,trimestre,periodo,crisis,momento,periodo_crisis,bloque,hogares_totales,hogares_entran_medicion,hogares_fuera_medicion,hogares_pobres,hogares_no_pobres,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,hogares_no_pobres_cerca_linea,hogares_pobres_con_ocupados,hogares_pobres_con_jefe_ocupado,itf_mediana,linea_pobreza_mediana,ratio_itf_linea_mediana,brecha_pobreza_rel_media
2018,3,2018_t3,Crisis 2020,Antes,Antes de crisis 2020,2018-2022,3417,2325,1092,496,1829,0.21333333333333335,0.20072358505582555,188,387,315,25000,14604.6716,1.941706663618542,0.42337656281679836
2018,4,2018_t4,Crisis 2020,Antes,Antes de crisis 2020,2018-2022,3468,2389,1079,635,1754,0.2658015906236919,0.2558927310092465,229,489,387,24300,17219.4525,1.5858629830241298,0.422419998146516
2019,1,2019_t1,Crisis 2020,Antes,Antes de crisis 2020,2018-2022,3469,2364,1105,583,1781,0.24661590524534688,0.2373585246603014,176,476,369,30000,18034.937066666665,1.8134114792786804,0.42524645267813266
2019,2,2019_t2,Crisis 2020,Antes,Antes de crisis 2020,2018-2022,3407,2400,1007,654,1746,0.2725,0.25701193908835035,207,501,403,30000,19187.236716666666,1.5823164986879865,0.43581095298316896
2019,3,2019_t3,Crisis 2020,Antes,Antes de crisis 2020,2018-2022,3387,2396,991,617,1779,0.25751252086811355,0.2419235753173818,186,471,374,35000,22431.722700000002,1.7553356388090435,0.4365586302976988
2019,4,2019_t4,Crisis 2020,Antes,Antes de crisis 2020,2018-2022,3355,2281,1074,667,1614,0.292415607189829,0.28331327142303303,192,512,396,35200,22392.3815,1.6030238850682184,0.4167521304476567
2021,1,2021_t1,Crisis 2020,Despues,Despues de crisis 2020,2018-2022,1474,974,500,252,722,0.2587268993839836,0.31021609625787633,75,187,147,59517.5,33382.6805,1.7565551984749224,0.42692220610556475
2021,2,2021_t2,Crisis 2020,Despues,Despues de crisis 2020,2018-2022,1407,936,471,252,684,0.2692307692307692,0.29812315608497086,72,187,139,60000,36812.07786666667,1.6098621715938197,0.4134380438967214
2021,3,2021_t3,Crisis 2020,Despues,Despues de crisis 2020,2018-2022,1733,1105,628,262,843,0.23710407239819004,0.2908009817817264,76,207,165,72600,39422.7203,1.8932877703233348,0.4099353519784559
2021,4,2021_t4,Crisis 2020,Despues,Despues de crisis 2020,2018-2022,2373,1493,880,340,1153,0.2277294038847957,0.2636773786092736,107,256,211,73000,42230.361066666665,1.7199692069943715,0.3765082745148024
2022,1,2022_t1,Crisis 2020,Despues,Despues de crisis 2020,2018-2022,2392,1476,916,360,1116,0.24390243902439024,0.2675597331761135,96,270,218,87000,47867.8464,1.8383948019019298,0.4361035274810911
2022,2,2022_t2,Crisis 2020,Despues,Despues de crisis 2020,2018-2022,2731,1689,1042,433,1256,0.25636471284783896,0.2899632436742229,157,355,284,91000,57120.024000000005,1.6135441482547832,0.39917753224142916
2022,3,2022_t3,Crisis 2020,Despues,Despues de crisis 2020,2018-2022,2742,1720,1022,428,1292,0.24883720930232558,0.2986935704539995,135,337,273,110000,68210.65386666666,1.742097134264998,0.3983458869144309
2022,4,2022_t4,Crisis 2020,Despues,Despues de crisis 2020,2018-2022,2640,1631,1009,450,1181,0.27590435315757206,0.30738964898847804,150,349,283,134000,83669.4281,1.5441372461343594,0.38488068864916886
