crisis,momento,periodo_crisis,bloque,gba,adulto_equiv_grupo,hogares,hogares_expandidos,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,n_integrantes_media,n_menores_18_media,n_ocupados_media,n_perceptores_media,ratio_itf_linea_mediana,brecha_pobreza_rel_media_pobres
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,Menos de 2,5673,8389123,0.06275339326634938,0.06919722121132328,1.5950995945707738,0.05640754450907809,0.6994535519125683,1.4004935660144544,3.1191596566916884,0.5132317460783293
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,2 a menos de 3,3807,6193485,0.11400052534804307,0.11450984381168276,3.1912266876805884,0.830575256107171,1.4982926188599948,1.9154189650643552,2.481515516347267,0.3658269481327865
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,3 a menos de 4,3006,5042156,0.1709913506320692,0.18140335205812752,4.2764471057884235,1.4886892880904856,1.8083832335329342,2.155688622754491,1.9515005758595323,0.3393774223727493
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,4 o mas,2452,4187243,0.27814029363784665,0.27979054475701554,6.310766721044046,2.556688417618271,2.3258564437194127,2.8556280587275693,1.4914206131404222,0.3502654387336418
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,Menos de 2,3101,6220779,0.04482425024185747,0.03831208277934323,1.4511447920025797,0.03805224121251209,0.7662044501773622,1.3421476942921637,3.4422516526273137,0.48306387319502775
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,2 a menos de 3,1029,2276147,0.09718172983479106,0.07651834437758194,3.1020408163265305,0.8386783284742468,1.652089407191448,1.9300291545189505,2.4460560820515416,0.3667967012121417
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,3 a menos de 4,531,1134731,0.2033898305084746,0.16388201256509252,4.1770244821092275,1.5141242937853108,1.8945386064030132,2.177024482109228,1.9291244584465361,0.38066427830796934
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,4 o mas,219,459061,0.4703196347031963,0.4401223366829245,5.945205479452055,2.3835616438356166,2.1780821917808217,2.557077625570776,1.0589141133941562,0.3996446958456033
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,Menos de 2,6113,11882114,0.1506625224930476,0.1399961320014267,1.5624079829870767,0.07443153934238508,0.6504171437919188,1.3597251758547357,2.06462630701794,0.452777163724336
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,2 a menos de 3,3515,7875156,0.3294452347083926,0.2902412345863371,3.17524893314367,0.9413940256045519,1.3382645803698436,1.7792318634423898,1.3578775176449487,0.39786600418828466
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,3 a menos de 4,2657,6344392,0.42303349642453897,0.37981716766555407,4.2724877681595785,1.63793752352277,1.6225065863756116,2.010161836657885,1.1574900393352157,0.393141891717368
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,4 o mas,1648,4258555,0.5964805825242718,0.5456306188366711,6.262742718446602,2.7396844660194173,1.9641990291262137,2.5606796116504853,0.8307469552570688,0.45197992145835564
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,Menos de 2,2302,5611576,0.05734144222415291,0.0538499344925561,1.4613379669852302,0.04995655951346655,0.7966985230234579,1.3284100781928758,3.0355806632479654,0.48810813963335814
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,2 a menos de 3,619,2443339,0.14539579967689822,0.12573490620826663,3.022617124394184,0.7980613893376414,1.5912762520193862,1.8836833602584815,2.133945353786642,0.3642730065374061
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,3 a menos de 4,309,1375960,0.2750809061488673,0.24468661879705805,4.142394822006472,1.4627831715210355,1.802588996763754,2.1359223300970873,1.616376217560426,0.3354562436632048
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,4 o mas,85,410123,0.38823529411764707,0.3564832989127652,5.588235294117647,1.9764705882352942,2.2823529411764705,2.6588235294117646,1.3646713186695176,0.36413332225258194
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,Menos de 2,3895,11540602,0.16405648267008985,0.1721390270628863,1.5478818998716304,0.07060333761232349,0.6577663671373556,1.34403080872914,1.867575671773389,0.45401207793014714
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,2 a menos de 3,1753,8183114,0.387906446092413,0.35998545297059287,3.127210496292071,0.849971477467199,1.374215630347975,1.8174557900741586,1.2688555926576883,0.378412914201778
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,3 a menos de 4,1368,7190903,0.4861111111111111,0.44501573724468263,4.24780701754386,1.5899122807017543,1.6425438596491229,2.0226608187134505,1.017895838320647,0.36164357297430955
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,4 o mas,693,4294996,0.6536796536796536,0.6319454080981682,6.012987012987013,2.5815295815295816,1.9956709956709957,2.5295815295815296,0.7607150904421779,0.43055993057622965
